Gene1	Gene2	R	P	FDR
HIF1A	NFE2L2	0.603265306122449	3.53673197084348e-06	0.000131649646538221
SQSTM1	NQO1	0.371332533013205	0.00793149212053201	0.0474838998474234
ACSS2	PFKP	-0.396110444177671	0.00440540569112358	0.0309062164228714
HIF1A	PFKP	0.606626650660264	3.01690052006975e-06	0.000116941109684838
ACSS2	PKM	-0.428475390156062	0.001906811225036	0.0167587519889275
HIF1A	PKM	0.447394957983193	0.00112379344824953	0.0113600078922093
PFKP	PKM	0.688451380552221	3.28363418677924e-08	3.35142534418371e-06
ACSS2	PKLR	0.613253301320528	2.19333811735112e-06	9.37800243689046e-05
PKM	PKLR	-0.511548619447779	0.000146613456655897	0.00245441786698021
ACSS2	CAT	0.516542617046819	0.000122951132391247	0.00215522095781665
PKM	CAT	-0.612869147659064	2.23469523774611e-06	9.42743430963825e-05
PKLR	CAT	0.723409363745498	2.94782775966951e-09	6.21795135439622e-07
ACSS2	PNPLA3	0.47812725090036	0.00044516918410098	0.00549128771343275
PFKL	PNPLA3	0.384393757503001	0.00584965686928651	0.0380438115815468
PKLR	PNPLA3	0.487827130852341	0.000326279220371095	0.00439296788618785
ACSS2	PCSK9	0.403505402160864	0.00366429332545115	0.026806529668734
PNPLA3	PCSK9	0.605282112845138	3.21567631966779e-06	0.000122961947440465
ACSS2	FASN	0.658967587034814	1.96206742852922e-07	1.3794855900046e-05
PKLR	FASN	0.564081632653061	1.9891256124227e-05	0.000526550026951263
CAT	FASN	0.405042016806723	0.00352486598554203	0.0260576541548013
PNPLA3	FASN	0.736470588235294	1.08834119494361e-09	3.27953480076341e-07
PCSK9	FASN	0.551500600240096	3.30968891353312e-05	0.000796338838206751
PKM	GGH	-0.410228091236495	0.00308817631084368	0.0236585710593448
ACSS2	MTHFS	0.505690276110444	0.00017961794390553	0.00285583504782461
PKM	MTHFS	-0.489747899159664	0.000306472549857606	0.00418867882397177
PKLR	MTHFS	0.563985594237695	1.99702917933475e-05	0.000526550026951263
CAT	MTHFS	0.701896758703481	1.3534444676111e-08	1.7478768553149e-06
FASN	MTHFS	0.39563025210084	0.0044577833280548	0.0312044832963836
FPGS	MTHFS	-0.402641056422569	0.00374483563187056	0.027238298710893
PKM	ATIC	0.536230492196879	5.97713978871539e-05	0.00122405632954663
CAT	ATIC	-0.545258103241297	4.22900482430766e-05	0.000969606613341263
MTHFS	ATIC	-0.57406962785114	1.30793023993547e-05	0.000390404837656211
HIF1A	AMT	-0.558415366146459	2.50820144669373e-05	0.000634875950187116
PFKP	AMT	-0.485810324129652	0.000348317733158909	0.00460157539755653
PKM	AMT	-0.3784393757503	0.00673068021635448	0.0422956746862871
NFE2L2	GART	0.409267707082833	0.00316524324661338	0.0240741096929922
PFKL	GART	0.444609843937575	0.00121707386887104	0.0120715414454796
ATIC	GART	0.485138055222089	0.000355958033710913	0.00466356612282123
HIF1A	GPX4	-0.409459783913565	0.00314969549147426	0.0240425489385393
GGH	GPX2	0.504633853541417	0.000186243431918864	0.00293902353412113
PKM	GPX3	-0.413877551020408	0.00281021323562358	0.0222287866937825
GGH	GPX3	0.422521008403361	0.00223823642741428	0.0188345214264329
GPX7	GPX3	-0.380552220888355	0.00640567386071611	0.0407387981815191
GPX2	GPX3	0.418199279711885	0.00250983051518494	0.020518570588386
GPX4	GPX1	0.380648259303721	0.00639123142597975	0.040728814162739
ACSS2	GCLC	0.44124849939976	0.00133883278145031	0.0128560452822724
SQSTM1	GCLC	0.437791116446579	0.00147530868496393	0.0138512661104625
PKM	GCLC	-0.480432172869148	0.000413830186493769	0.0052061976543391
PKLR	GCLC	0.56062424969988	2.29258506232455e-05	0.000592052026233666
CAT	GCLC	0.637839135654262	6.28942295133328e-07	3.5535239675033e-05
MTHFS	GCLC	0.472364945978391	0.0005331080942792	0.00642572956304529
NFE2L2	GCLM	0.601632653061224	3.81814845940021e-06	0.000139660366769275
SQSTM1	GCLM	0.685762304921969	3.89842602643853e-08	3.91575236433381e-06
PKLR	GCLM	0.410612244897959	0.00305781636497837	0.0235113754041107
GART	GCLM	0.391692677070828	0.00490829113162805	0.0333974906246691
GCLC	GCLM	0.486578631452581	0.000339767982740824	0.00453597425059902
PFKL	GSS	0.427418967587035	0.00196221724552803	0.0171031828232801
PCSK9	GSS	0.420120048019208	0.00238571396147291	0.0197086135094003
ATIC	GSS	0.528259303721489	8.04730486021477e-05	0.00155254101083656
HIF1A	GSR	0.506266506602641	0.000176095142520705	0.00283544545005348
SQSTM1	GSR	0.458151260504202	0.000820673826248619	0.00887730593589959
PFKP	GSR	0.481776710684274	0.000396483937945558	0.00503805293036042
PKM	GSR	0.659735894357743	1.87744433555181e-07	1.3575230842858e-05
ATIC	GSR	0.481968787515006	0.000394060324625967	0.00501733145720949
GCLM	GSR	0.449315726290516	0.00106324443713746	0.0107996963053063
GSS	GSR	0.462953181272509	0.000710847235984913	0.00793340618926372
NFE2L2	GGCT	-0.382569027611044	0.00610828016230935	0.039361707603965
PKM	GGCT	0.525378151260504	8.94424366673086e-05	0.00169967489258477
