Gene1	Gene2	Correlation	Pvalue	FDR
ENSG00000006118	ENSG00000109736	0.741944777911164	7.04335700874026e-10	1.26272796823361e-07
ENSG00000006118	ENSG00000136193	0.72187274909964	3.30223937083929e-09	4.29506950847724e-07
ENSG00000006118	ENSG00000141756	0.81608643457383	5.16475751055623e-13	3.31544111161513e-10
ENSG00000021300	ENSG00000039537	-0.704585834333733	1.12696214582542e-08	1.07819936066951e-06
ENSG00000021300	ENSG00000100714	-0.718895558223289	4.10599465539008e-09	5.20441360778742e-07
ENSG00000021300	ENSG00000109736	0.701992797118848	1.34466811019252e-08	1.20535564832572e-06
ENSG00000021300	ENSG00000137731	0.801219717391023	2.78710388101899e-12	1.5406490897855e-09
ENSG00000021300	ENSG00000176170	0.789579831932773	9.47730782741019e-12	4.01273246309495e-09
ENSG00000021852	ENSG00000039537	0.747130852340936	4.61678473229199e-10	8.74990630215339e-08
ENSG00000021852	ENSG00000109511	0.71265306122449	6.42605879619396e-09	7.06511436708617e-07
ENSG00000021852	ENSG00000157131	0.777575030012005	3.09796632791404e-11	1.06292292974982e-08
ENSG00000021852	ENSG00000164344	0.765090036014406	9.84980985663242e-11	2.68508515269843e-08
ENSG00000029364	ENSG00000071537	0.751452581032413	3.22161852750469e-10	6.41102086973433e-08
ENSG00000034510	ENSG00000084207	0.778055222088835	2.95878876954703e-11	1.03298064059624e-08
ENSG00000034510	ENSG00000088992	0.718799519807923	4.1347598678243e-09	5.20770388415845e-07
ENSG00000034510	ENSG00000100003	-0.764801920768307	1.01077590741738e-10	2.71585333169879e-08
ENSG00000034510	ENSG00000100714	-0.820600240096038	3.00426350463567e-13	2.29941706700961e-10
ENSG00000034510	ENSG00000104312	0.724177671068427	2.78436385059422e-09	3.74384058289358e-07
ENSG00000034510	ENSG00000105372	0.77046818727491	6.03788130604244e-11	1.90720377762293e-08
ENSG00000034510	ENSG00000106327	-0.705834333733493	1.03439030674224e-08	1.01077367635652e-06
ENSG00000034510	ENSG00000109736	0.796686674669868	4.53126425270511e-12	2.25430396572079e-09
ENSG00000034510	ENSG00000112293	-0.728787515006002	1.96933536145139e-09	2.83983867339729e-07
ENSG00000034510	ENSG00000117054	-0.738871548619448	9.00434393713567e-10	1.55814299433913e-07
ENSG00000034510	ENSG00000119711	-0.835582232893157	4.44089209850063e-14	4.01698876182557e-11
ENSG00000034510	ENSG00000128928	-0.731380552220888	1.61574531531983e-09	2.55048633656344e-07
ENSG00000034510	ENSG00000137731	0.804821244439529	1.87738713464114e-12	1.06742868512453e-09
ENSG00000034510	ENSG00000141526	0.718511404561825	4.2221977025747e-09	5.28438580385136e-07
ENSG00000034510	ENSG00000143839	-0.71313325330132	6.21101392539458e-09	6.90498196175152e-07
ENSG00000034510	ENSG00000146085	-0.757406962785114	1.93867144560045e-10	4.59280497231535e-08
ENSG00000034510	ENSG00000160211	0.737334933973589	1.01679820119216e-09	1.70036001711966e-07
ENSG00000034510	ENSG00000164687	0.752412965186074	2.97109892244407e-10	6.0953472738801e-08
ENSG00000034510	ENSG00000171960	0.746746698679472	4.76517048042524e-10	8.94593326042097e-08
ENSG00000034510	ENSG00000173457	0.835102040816327	4.72955008490317e-14	4.09208898650318e-11
ENSG00000034510	ENSG00000176170	0.737046818727491	1.04013775370504e-09	1.72489510822752e-07
ENSG00000034510	ENSG00000185803	0.769507803121248	6.59561294469313e-11	1.98203861283751e-08
ENSG00000034510	ENSG00000198467	0.716590636254502	4.8511319405975e-09	5.95910651962285e-07
ENSG00000034510	ENSG00000204653	-0.735990396158463	1.1301117819329e-09	1.84337905413645e-07
ENSG00000034510	ENSG00000227507	0.785066026410564	1.49253942538508e-11	5.9403069130326e-09
ENSG00000034510	ENSG00000233927	0.701128451380552	1.42561851212974e-08	1.25530125625584e-06
ENSG00000034510	ENSG00000241343	0.756542617046819	2.08886685726384e-10	4.83354075111051e-08
ENSG00000034510	ENSG00000253368	0.72984393757503	1.81728343484622e-09	2.67881039655109e-07
ENSG00000039537	ENSG00000075239	0.739927971188475	8.27848900541994e-10	1.45789319652971e-07
ENSG00000039537	ENSG00000109511	0.772773109243697	4.87565543494384e-11	1.60489632512546e-08
ENSG00000039537	ENSG00000134057	-0.755102040816326	2.36388242313978e-10	5.11318045874801e-08
ENSG00000039537	ENSG00000134365	0.792845138055222	6.77613520849718e-12	3.06466115111577e-09
ENSG00000039537	ENSG00000160211	-0.707370948379352	9.30261645493147e-09	9.5423746109864e-07
ENSG00000039537	ENSG00000197122	-0.715822328931573	5.12657760687318e-09	6.14571652872147e-07
