"TCGA.MR.A8JO.01A"	"TCGA.NI.A8LF.01A"	"TCGA.RC.A6M6.01A"	"TCGA.RC.A7S9.01A"	"TCGA.RC.A7SH.01A"	"TCGA.RC.A7SK.01A"	"TCGA.UB.A7MB.01A"	"TCGA.UB.A7MC.01A"	"TCGA.UB.A7MD.01A"	"TCGA.WQ.A9G7.01A"	"TCGA.WX.AA44.01A"	"TCGA.XR.A8TD.01A"	"TCGA.YA.A8S7.01A"	"TCGA.DD.AA3A.01A"	"TCGA.DD.AACD.01A"	"TCGA.DD.AACG.01A"	"TCGA.DD.AACZ.01A"	"TCGA.DD.AAD1.01A"	"TCGA.DD.AADB.01A"	"TCGA.DD.AADD.01A"	"TCGA.DD.AADF.01A"	"TCGA.DD.AADL.01A"	"TCGA.DD.AADN.01A"	"TCGA.DD.AAE0.01A"	"TCGA.DD.AAEE.01A"	"TCGA.2Y.A9GV.01A"	"TCGA.2Y.A9H0.01A"	"TCGA.2Y.A9H3.01A"	"TCGA.3K.AAZ8.01A"	"TCGA.5C.AAPD.01A"	"TCGA.BC.A10S.01A"	"TCGA.BC.A10T.01A"	"TCGA.BC.A110.01A"	"TCGA.BC.A69I.01A"	"TCGA.CC.5260.01A"	"TCGA.CC.5262.01A"	"TCGA.CC.5263.01A"	"TCGA.CC.A123.01A"	"TCGA.CC.A3MB.01A"	"TCGA.CC.A7IF.01A"	"TCGA.CC.A7IH.01A"	"TCGA.CC.A7IL.01A"	"TCGA.CC.A8HS.01A"	"TCGA.DD.A1ED.01A"	"TCGA.DD.A3A2.01A"	"TCGA.DD.A4NL.01A"	"TCGA.DD.A4NO.01A"	"TCGA.DD.A4NV.01A"	"TCGA.DD.A73C.01A"	"TCGA.DD.A73D.01A"
"ENSG00000000003"	3699	5548	3413	2895	4209	1812	3733	5317	2151	2427	2942	2066	4186	1087	6637	2222	8280	2562	6857	3929	2194	7906	864	1610	9818	3320	6625	1881	3871	4560	4579	3991	2326	9547	4248	5002	1856	5726	6711	3429	9419	6130	2424	5085	5447	3553	8685	9869	4501	2369
"ENSG00000000005"	2	31	0	0	0	0	13	0	4	0	5	3	2	0	1	2	0	2	0	0	0	1	1	0	0	9	13	6	4	0	10	2	2	1	1	0	0	0	0	6	0	9	4	16	3	3	1	8	4	20
"ENSG00000000419"	734	813	2200	1125	728	1256	1891	1847	1268	999	603	2247	1572	1154	476	575	1751	824	1506	1987	1313	2271	311	984	1390	815	931	536	1133	1154	1155	2197	544	788	787	1278	1379	642	2364	869	1404	2470	2826	1326	1025	718	2054	1888	1304	1094
"ENSG00000000457"	317	433	406	529	693	675	1182	1607	553	432	472	305	459	878	184	193	650	1499	704	797	432	1011	52	481	535	548	605	169	727	421	488	891	247	604	627	736	1045	179	1380	511	1650	1119	1195	587	521	465	779	580	639	1086
"ENSG00000000460"	143	178	248	216	281	144	796	2779	861	117	155	279	300	449	91	130	348	196	458	683	153	328	13	198	226	290	424	54	167	323	120	279	58	440	218	172	841	80	864	117	1585	217	621	1528	64	359	191	194	127	255
"ENSG00000000938"	350	195	327	223	51	47	121	133	356	141	135	1449	679	168	116	133	830	326	587	95	57	163	660	42	108	90	121	129	77	562	263	185	336	159	507	416	640	44	187	83	81	74	183	275	121	95	111	326	182	48
"ENSG00000000971"	21038	35031	71862	87627	8412	55084	27845	33258	43254	3187	62354	34326	26511	20832	33089	22230	38744	76286	34484	15047	39021	71465	13200	1069	13032	59014	48141	35923	91848	21429	35111	102132	30390	57809	2421	61246	119913	31109	49099	23713	93833	99999	24931	120808	66249	74537	113383	44593	193370	52693
"ENSG00000001036"	4060	3285	4610	5779	3508	6571	3125	9994	7988	2695	2599	3805	8958	1460	1423	3223	9106	2727	9058	5761	1728	3551	1515	2224	2524	2191	3754	2861	4954	4527	3926	8449	1800	1057	2223	5668	14452	5537	10839	1329	1500	7706	3754	3721	5030	2308	4809	1017	4634	2769
"ENSG00000001084"	2354	8584	12417	2955	899	6092	6813	16932	4061	1548	5064	5312	3244	1651	2318	3633	5108	1860	3328	3063	3090	7460	915	333	7312	4909	3287	858	9951	2569	4485	8589	1693	3464	1939	3844	8367	1981	8135	3733	13737	13092	1516	6941	7763	4948	7087	5386	11248	15062
"ENSG00000001167"	694	1168	1073	1107	1190	937	1192	2794	1009	1297	2397	826	1470	2548	350	484	1633	1337	2942	1097	330	1815	378	741	942	664	705	275	1090	624	963	813	345	543	2488	628	6512	543	2228	785	1396	1446	1937	655	486	473	1161	782	759	2168
