Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	35	0.47598	0.63337	1	0.52402	0.36763	0.62079	0.39668	0.63536	0.85955	18	0.36672	0.4955	1	17	0.42839	0.65035	0.84017
GO_CARDIAC_CHAMBER_DEVELOPMENT	141	0.52519	0.98801	1	0.47481	0.012987	0.078381	0.32568	0.016983	0.26341	65	0.32325	0.12687	0.84004	76	0.32775	0.015984	0.16075
GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	19	0.39624	0.21379	1	0.60376	0.78721	0.94739	0.31118	0.15085	0.53533	10	0.14847	0.006993	0.33688	9	0.49197	0.81319	0.92855
GO_CIRCADIAN_RHYTHM	131	0.59245	1	1	0.40755	0.000999	0.013594	0.35967	0.18881	0.57565	50	0.40339	0.8042	1	81	0.33268	0.020979	0.17997
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	17	0.3243	0.061938	0.68861	0.6757	0.93906	1	0.42598	0.74026	0.90964	13	0.39491	0.64436	1	4	0.52694	0.78122	0.91489
GO_SPINAL_CORD_DEVELOPMENT	98	0.46511	0.56743	1	0.53489	0.43357	0.68275	0.42809	0.93806	0.9774	53	0.40674	0.80919	1	45	0.45325	0.88711	0.96194
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	34	0.54939	0.94306	1	0.45061	0.057942	0.20497	0.3833	0.53646	0.81415	15	0.41303	0.72627	1	19	0.35983	0.31169	0.62493
GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	13	0.4424	0.42158	1	0.5576	0.57942	0.80147	0.32493	0.25774	0.64559	8	0.35791	0.45554	1	5	0.27216	0.2048	0.5296
GO_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY	9	0.43724	0.42957	1	0.56276	0.57143	0.79712	0.46458	0.78222	0.92285	6	0.5043	0.85514	1	3	0.38514	0.45754	0.72575
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	56	0.41648	0.16683	1	0.58352	0.83417	0.97583	0.35529	0.24076	0.62861	33	0.31125	0.15485	0.88214	23	0.41848	0.61039	0.81785
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	461	0.48278	0.9041	1	0.51722	0.096903	0.28132	0.38012	0.45754	0.77854	245	0.3844	0.78721	1	216	0.37527	0.13586	0.436
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS	38	0.54946	0.94505	1	0.45054	0.055944	0.20078	0.4438	0.88212	0.95994	16	0.45698	0.87612	1	22	0.43422	0.70729	0.87353
GO_POTASSIUM_ION_TRANSPORT	142	0.4774	0.73726	1	0.5226	0.26374	0.50933	0.37723	0.43457	0.76948	74	0.35912	0.4036	1	68	0.39695	0.44655	0.7176
GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	27	0.41304	0.25874	1	0.58696	0.74226	0.91513	0.43372	0.80719	0.93381	17	0.41218	0.70929	1	10	0.47032	0.78921	0.91984
GO_CARDIAC_MUSCLE_ADAPTATION	11	0.6229	0.93806	1	0.3771	0.062937	0.21559	0.50967	0.90809	0.96811	4	0.66378	0.96204	1	7	0.4216	0.56843	0.79577
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	110	0.52581	0.98402	1	0.47419	0.016983	0.094053	0.33257	0.052947	0.39474	47	0.27937	0.023976	0.56223	63	0.37226	0.25774	0.57183
GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	80	0.5073	0.88911	1	0.4927	0.11189	0.30581	0.34765	0.15984	0.54417	40	0.36225	0.45954	1	40	0.33306	0.085914	0.36151
GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION	90	0.45599	0.42058	1	0.54401	0.58042	0.80185	0.36749	0.32567	0.70336	48	0.32451	0.16983	0.91014	42	0.41662	0.64635	0.83818
GO_APICAL_PROTEIN_LOCALIZATION	12	0.44966	0.46454	1	0.55034	0.53646	0.7724	0.32516	0.27972	0.66178	6	0.22449	0.12587	0.84004	6	0.42584	0.5964	0.81137
GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY	110	0.41217	0.088911	0.83385	0.58783	0.91209	1	0.40249	0.74426	0.91199	69	0.38371	0.66733	1	41	0.43409	0.76324	0.90701
GO_FOREBRAIN_NEURON_DEVELOPMENT	34	0.43518	0.32168	1	0.56482	0.67932	0.87779	0.45267	0.91209	0.96841	22	0.47689	0.95105	1	12	0.40827	0.53047	0.7756
GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION	16	0.75327	1	1	0.24673	0.000999	0.013594	0.26816	0.087912	0.46426	4	0.5494	0.87313	1	12	0.17441	0.006993	0.10037
GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	34	0.48091	0.64236	1	0.51909	0.35864	0.61166	0.39186	0.5954	0.84411	18	0.38959	0.62837	1	16	0.39442	0.48551	0.74353
GO_MITOTIC_CYTOKINESIS	31	0.38213	0.1049	0.90705	0.61787	0.8961	1	0.32627	0.14885	0.53207	18	0.21685	0.01998	0.55345	13	0.47778	0.8012	0.92294
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	35	0.52481	0.87213	1	0.47519	0.12887	0.33667	0.37017	0.43756	0.77178	18	0.4359	0.81818	1	17	0.30058	0.094905	0.37314
GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION	53	0.52753	0.9041	1	0.47247	0.096903	0.28132	0.36443	0.33167	0.70803	24	0.35901	0.41958	1	29	0.36892	0.31369	0.6261
GO_CYTOPLASMIC_TRANSLATION	40	0.2392	0.000999	0.053392	0.7608	1	1	0.28702	0.015984	0.25323	34	0.27378	0.036963	0.65528	6	0.36204	0.41459	0.69885
GO_MEIOTIC_CHROMOSOME_SEGREGATION	49	0.34593	0.007992	0.22873	0.65407	0.99301	1	0.42411	0.83417	0.94061	32	0.32316	0.18581	0.92502	17	0.61413	0.998	1
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT	101	0.47943	0.73227	1	0.52057	0.26873	0.5145	0.37475	0.4036	0.75538	58	0.41979	0.90509	1	43	0.314	0.025974	0.20139
GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	32	0.34128	0.030969	0.46255	0.65872	0.97003	1	0.37958	0.48152	0.79376	21	0.28544	0.098901	0.81172	11	0.55929	0.93606	0.97947
GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS	20	0.38639	0.17283	1	0.61361	0.82817	0.97344	0.43297	0.76024	0.91717	12	0.33813	0.34565	0.97858	8	0.57524	0.93606	0.97947
