Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
1	GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	35	1.2356	0.47153	1	-1.2356	0.52947	0.77595	2.5113	0.66633	0.88448	18	2.5932	0.42657	0.99966	17	0.93491	0.77023	0.91428
2	GO_CARDIAC_CHAMBER_DEVELOPMENT	140	0.072245	0.92308	1	-0.072245	0.077922	0.25962	8.4391	0.040959	0.39003	64	6.5833	0.055944	0.66566	76	5.4126	0.091908	0.37828
3	GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	19	2.3458	0.15784	1	-2.3458	0.84316	0.9845	3.1397	0.24875	0.66691	10	4.3513	0.038961	0.63086	9	-0.024717	0.85215	0.95773
4	GO_CIRCADIAN_RHYTHM	131	-5.0669	1	1	5.0669	0.000999	0.014666	7.0689	0.19181	0.61859	50	2.5731	0.87313	1	81	6.968	0.008991	0.12339
5	GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	17	2.8045	0.07992	0.81816	-2.8045	0.92108	1	1.2095	0.79221	0.93508	13	1.498	0.66933	1	4	-0.20719	0.8022	0.93182
6	GO_SPINAL_CORD_DEVELOPMENT	97	2.1821	0.36663	1	-2.1821	0.63437	0.85608	4.4648	0.71029	0.89817	52	4.4391	0.44955	1	45	1.7832	0.82018	0.94107
7	GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	34	-1.1373	0.92208	1	1.1373	0.078921	0.2615	2.6147	0.65634	0.88124	15	1.2846	0.76823	1	19	2.3563	0.35964	0.67987
8	GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	13	0.55717	0.53047	1	-0.55717	0.47053	0.73059	2.4202	0.33267	0.72018	8	1.4342	0.58142	1	5	2.0883	0.17982	0.51532
9	GO_REGULATION_OF_NLRP3_INFLAMMASOME_COMPLEX_ASSEMBLY	9	0.5344	0.49051	1	-0.5344	0.51049	0.7651	0.75915	0.74126	0.91451	6	0.15834	0.84915	1	3	1.091	0.3966	0.70409
10	GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	56	3.42	0.07992	0.81816	-3.42	0.92108	1	4.3171	0.36164	0.73829	33	4.6362	0.16084	0.88808	23	1.183	0.78122	0.91984
11	GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	461	2.0266	0.8951	1	-2.0266	0.10589	0.31309	11.687	0.34366	0.72649	245	8.6823	0.66633	1	216	7.8274	0.12987	0.44923
12	GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FACTOR_IMPORT_INTO_NUCLEUS	38	-0.75034	0.8981	1	0.75034	0.1029	0.30811	1.6814	0.88711	0.96793	16	1.014	0.84016	1	22	1.345	0.72827	0.89671
13	GO_POTASSIUM_ION_TRANSPORT	142	1.1464	0.75325	1	-1.1464	0.24775	0.50048	6.5212	0.40759	0.77071	74	5.2389	0.48452	1	68	3.9585	0.37363	0.68786
14	GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	27	1.4066	0.38462	1	-1.4066	0.61638	0.84175	1.194	0.89211	0.96806	17	1.2831	0.81019	1	10	0.28898	0.80919	0.9366
15	GO_CARDIAC_MUSCLE_ADAPTATION	11	-2.211	0.96903	1	2.211	0.031968	0.15482	0.67161	0.81518	0.94247	4	-0.93709	0.95205	1	7	1.5503	0.37962	0.69226
16	GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	110	-0.97617	0.96803	1	0.97617	0.032967	0.15767	6.5376	0.19281	0.61944	47	5.186	0.17982	0.90209	63	4.1594	0.25375	0.5966
17	GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	80	-0.46442	0.92108	1	0.46442	0.07992	0.26255	5.7963	0.17982	0.60774	40	3.6589	0.50949	1	40	4.5384	0.063936	0.32059
18	GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION	90	1.4458	0.57642	1	-1.4458	0.42458	0.68646	4.4456	0.66833	0.88469	48	4.1155	0.4955	1	42	2.108	0.73826	0.90262
19	GO_APICAL_PROTEIN_LOCALIZATION	12	0.70227	0.48851	1	-0.70227	0.51249	0.76647	1.8877	0.47453	0.80639	6	2.1264	0.26873	0.93659	6	0.54321	0.66034	0.86044
20	GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY	110	2.9802	0.22278	1	-2.9802	0.77822	0.95069	3.4421	0.95205	0.98586	69	3.2302	0.89311	1	41	1.4476	0.85914	0.96176
21	GO_FOREBRAIN_NEURON_DEVELOPMENT	33	1.3396	0.42058	1	-1.3396	0.58042	0.81286	1.6378	0.85714	0.95742	21	1.0338	0.9021	1	12	1.3483	0.54146	0.79195
22	GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION	16	-6.4811	1	1	6.4811	0.000999	0.014666	5.5178	0.007992	0.17691	4	-0.3465	0.87413	1	12	6.5714	0.000999	0.033514
23	GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	34	0.13393	0.74226	1	-0.13393	0.25874	0.51577	3.1162	0.5025	0.81808	18	2.0799	0.58941	1	16	2.3365	0.30669	0.63518
24	GO_MITOTIC_CYTOKINESIS	31	2.9702	0.094905	0.86478	-2.9702	0.90609	1	3.5924	0.28072	0.68742	18	4.6764	0.045954	0.63567	13	0.044847	0.9011	0.97465
25	GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	35	-1.003	0.94206	1	1.003	0.058941	0.22451	3.1385	0.45954	0.79877	18	0.95412	0.87313	1	17	3.5215	0.071928	0.3382
26	GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION	53	-0.38033	0.8981	1	0.38033	0.1029	0.30811	4.3049	0.35764	0.7369	24	3.1344	0.42458	0.99911	29	2.9682	0.31568	0.64464
27	GO_CYTOPLASMIC_TRANSLATION	40	6.5053	0.000999	0.054151	-6.5053	1	1	5.1173	0.075924	0.46523	34	5.1339	0.098901	0.77427	6	0.99149	0.51748	0.77733
28	GO_MEIOTIC_CHROMOSOME_SEGREGATION	49	4.734	0.00999	0.25444	-4.734	0.99101	1	2.5786	0.82418	0.94562	32	4.2656	0.24076	0.93479	17	-1.4745	0.998	1
29	GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT	101	0.97048	0.6963	1	-0.97048	0.3047	0.56851	5.8127	0.31269	0.70135	58	3.4031	0.7992	1	43	4.9562	0.044955	0.27904
30	GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	32	4.2222	0.012987	0.29052	-4.2222	0.98801	1	3.0144	0.48551	0.81201	21	4.1848	0.11389	0.79553	11	-0.64065	0.95205	0.99048
31	GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS	20	1.908	0.23976	1	-1.908	0.76124	0.93889	1.3715	0.76623	0.92482	12	2.0267	0.5025	1	8	-0.3136	0.9001	0.97465
32	GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	13	1.6976	0.24575	1	-1.6976	0.75524	0.93477	-0.14717	0.93906	0.98155	9	0.72968	0.78821	1	4	-1.3598	0.97103	0.99564
