Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
1	GO_HEMOGLOBIN_METABOLIC_PROCESS	11	-4.2658	0.999	1	4.2658	0.001998	0.010021	3.7339	0.06993	0.4282	3	-0.35088	0.85514	0.999	8	4.5933	0.006993	0.059993
2	GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	77	-3.2268	0.999	1	3.2268	0.001998	0.010021	4.0779	0.60839	0.81546	32	0.64988	0.97902	0.999	45	4.7862	0.072927	0.22219
3	GO_GLYCERALDEHYDE_3_PHOSPHATE_METABOLIC_PROCESS	16	2.2059	0.14685	1	-2.2059	0.85415	0.89534	5.6273	0.003996	0.10021	10	4.4244	0.032967	0.82504	6	3.4776	0.020979	0.11792
4	GO_OLIGOSACCHARIDE_METABOLIC_PROCESS	61	-2.7631	1	1	2.7631	0.000999	0.0065135	5.211	0.18781	0.53708	23	2.6093	0.54046	0.999	38	4.5723	0.056943	0.1954
5	GO_ETHER_METABOLIC_PROCESS	11	0.47487	0.53746	1	-0.47487	0.46354	0.55968	2.6614	0.25175	0.60346	6	1.8114	0.37862	0.999	5	1.9631	0.19381	0.39393
6	GO_CYTOKINE_METABOLIC_PROCESS	16	-0.81379	0.85514	1	0.81379	0.14585	0.23308	2.9575	0.24076	0.59258	7	2.2411	0.28272	0.999	9	1.9668	0.30769	0.50918
7	GO_ALDITOL_PHOSPHATE_METABOLIC_PROCESS	34	3.3963	0.051948	1	-3.3963	0.94905	0.96685	3.0236	0.4985	0.76841	23	3.1789	0.37363	0.999	11	0.71904	0.74226	0.82026
8	GO_FATTY_ACID_CATABOLIC_PROCESS	73	-10.982	1	1	10.982	0.000999	0.0065135	10.321	0.000999	0.054279	14	1.2924	0.76124	0.999	59	10.851	0.000999	0.020355
9	GO_REGULATION_OF_LIPID_STORAGE	40	-4.7962	1	1	4.7962	0.000999	0.0065135	3.7329	0.36364	0.71846	11	0.51673	0.86314	0.999	29	4.0658	0.076923	0.22797
10	GO_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	19	-1.07	0.90609	1	1.07	0.094905	0.16198	1.8328	0.65534	0.81839	10	-0.14839	0.93806	0.999	9	2.8193	0.11189	0.27221
