Metabolite_ID	Metabolite_Name	Z_Score	P_Value	N_Genes	Mean_Z	Std_Z
M_m02630c	O2	4.17872375240863	1.46574749040099e-05	172	0.9650099291239	1.30929702051201
M_m02314s	kinetensin 1-3	4.15020122183182	1.66091559071483e-05	3	3.61151373237923	1.28071943594375
M_m02317s	kinetensin 4-8	4.15020122183182	1.66091559071483e-05	3	3.61151373237923	1.28071943594375
M_m02318s	kinetensin	4.15020122183182	1.66091559071483e-05	3	3.61151373237923	1.28071943594375
M_m00279c	11,12-EET	3.72641439999432	9.71114949756003e-05	54	1.20142448581652	1.26428492621117
M_m00366c	14,15-EET	3.72641439999432	9.71114949756003e-05	54	1.20142448581652	1.26428492621117
M_m02774m	propanoyl-CoA	3.71371873536224	0.000102117889003556	43	1.28031568451119	1.37036039052415
M_m02555c	NADPH	3.63183834241468	0.000140704696710198	218	0.872230600821706	1.31042963650251
M_m02554m	NADP+	3.60277708343238	0.000157417755765873	115	0.986160550254918	1.22159701698113
M_m02555m	NADPH	3.57786829566346	0.000173203957712574	113	0.989550810599213	1.23133286156267
M_m01268m	activation-ppara	3.55795993671101	0.000186873150077206	6	2.40334476224045	0.822193578206016
M_m01833c	formate	3.52159034085483	0.000214483238318917	47	1.21579588887427	1.26004068879041
M_m01252c	acetate	3.47161077842084	0.000258672914705979	46	1.21376088643647	1.19629397121388
M_m02180m	isobutyryl-CoA	3.44384191256419	0.000286755466028328	11	1.88003250404596	1.04153834178863
M_m02554c	NADP+	3.40949574415004	0.000325415466794118	229	0.846192306823037	1.31296683228687
M_m02969r	testosterone	3.36299084490266	0.000385514603753348	43	1.21230028147301	1.27206274559025
M_m01261m	acetyl-CoA	3.36248622149296	0.000386219904329801	53	1.14814522544267	1.4145177748924
M_m01597m	CoA	3.33179178299258	0.00043144395183501	97	0.989048836149311	1.41725872943072
M_m00626c	2-acetyl-1-alkyl-sn-glycero-3-phosphocholine	3.33004580410835	0.000434158494215745	9	1.97079341259597	1.06788942783659
M_m00006m	(11Z)-docosenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00009m	(11Z,14Z)-eicosadienoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00012m	(11Z,14Z,17Z)-eicosatrienoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00020m	(13Z)-octadecenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00023m	(13Z,16Z)-docosadienoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00093m	(4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00095m	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00101m	(5Z,8Z,11Z)-eicosatrienoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00103m	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00106m	(6Z,9Z)-octadecadienoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00108m	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00116m	(7Z)-octadecenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00119m	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00121m	(7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00123m	(8Z,11Z)-eicosadienoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00125m	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00127m	(9E)-octadecenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00129m	(9E)-tetradecenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00262m	10,13,16,19-docosatetraenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00264m	10,13,16-docosatrienoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m00343m	13,16,19-docosatrienoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m01236m	9-eicosenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m02390m	linolenoyl-CoA	3.2940800150958	0.000493721925621148	13	1.72380686393812	1.08126793078415
M_m01628c	cysteine	3.28744402441114	0.000505506429217517	44	1.1934941729201	1.43326223260942
M_m02553c	NADH	3.27524391604002	0.000527853897256346	147	0.904399582757993	1.31489148352927
M_m00971c	4-androstene-3,17-dione	3.26069554103651	0.000555696528334762	42	1.20219053325825	1.20771158507377
M_m02041c	H2O2	3.25726059243604	0.000562465535458747	77	1.0319978684316	1.35434239439708
M_m01362c	arachidonate	3.21883970564728	0.000643552067209702	67	1.06073310801575	1.38147796409835
M_m00970c	4-aminobutyrate	3.20369835881945	0.00067837271374626	11	1.78783263175752	1.36398348949428
M_m01802m	FAD	3.18636673914467	0.000720359210365462	33	1.26806402704341	1.22488215773341
M_m01803m	FADH2	3.18636673914467	0.000720359210365462	33	1.26806402704341	1.22488215773341
M_m02360s	leucine	3.16100674663108	0.000786124283871896	23	1.40183757176398	1.86469306378168
M_m00007m	(11Z)-eicosenoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m00118m	(7Z)-tetradecenoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m01141m	5-tetradecenoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m01191m	7-hexadecenoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m01586m	cis-vaccenoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m01773m	eicosanoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m01934m	gamma-linolenoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m02101m	heptadecanoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m02345m	lauroyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m02495m	myristoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m02612m	nonadecanoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m02647m	oleoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m02677m	palmitoleoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m02678m	palmitoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m02689m	pentadecanoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m02941m	stearoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m03050m	tridecanoyl-CoA	3.15497803035239	0.000802550957762317	9	1.8964863093998	1.20603075082579
M_m01998c	glycolate	3.10780158502191	0.000942422823688228	11	1.75101436135578	1.10273502708701
M_m00971r	4-androstene-3,17-dione	3.10066182669102	0.000965443361731029	42	1.17059673993072	1.17370498244476
M_m02125c	histidine	3.08371355779076	0.00102217162453367	30	1.2754620837854	1.63481035934442
M_m02315c	kinetensin 1-7	3.08138189087339	0.00103021100370182	1	4.4861177348083	NA
M_m02360c	leucine	3.0351209934141	0.00120219604273903	31	1.25417014738749	1.75058084184342
M_m01660r	dehydroepiandrosterone	3.01517911382307	0.00128413769274427	5	2.27660932609768	1.23955114827788
M_m00166m	(R)-methylmalonyl-CoA	3.01034703268227	0.00130474676106171	3	2.77343983564806	0.539141474783822
M_m01339r	androsterone-glucuronide	2.99262940383372	0.00138292691728985	5	2.26376635587396	1.89689764792263
M_m02967r	testosterone glucuronide	2.99262940383372	0.00138292691728985	5	2.26376635587396	1.89689764792263
M_m02040c	H2O	2.991290317652	0.00138900623738414	965	0.681619749592492	1.34921371008808
M_m02189m	isovaleryl-CoA	2.97447316517627	0.001467460625484	8	1.90260866763006	1.12580171146761
M_m01069r	5-alpha-dihydrotestosterone	2.96019278978559	0.00153723290637481	8	1.89616139512767	1.90982347564973
M_m02763r	pregnenolone	2.9248622299492	0.00172304376016642	4	2.41946785392821	1.38296505346422
M_m01790r	estrone	2.92017066498147	0.00174919871572299	38	1.16648006131383	1.25900521600218
M_m02630r	O2	2.90587299975513	0.00183115030185005	48	1.09308637248782	1.20191758516279
M_m02132c	homocarnosine	2.9024632080305	0.00185120323372033	3	2.69411862230267	0.618063962599048
M_m00305c	12(13)-EpOME	2.90013101457738	0.00186503358000071	30	1.2328469231172	1.18025328057047
M_m00305r	12(13)-EpOME	2.90013101457738	0.00186503358000071	30	1.2328469231172	1.18025328057047
M_m01054c	5,6-EET	2.90013101457738	0.00186503358000071	30	1.2328469231172	1.18025328057047
M_m01209c	8,9-EET	2.90013101457738	0.00186503358000071	30	1.2328469231172	1.18025328057047
M_m01216c	9(10)-EpOME	2.90013101457738	0.00186503358000071	30	1.2328469231172	1.18025328057047
M_m01216r	9(10)-EpOME	2.90013101457738	0.00186503358000071	30	1.2328469231172	1.18025328057047
M_m02040p	H2O	2.88561734944445	0.00195323398290891	45	1.1086098278035	1.11304567482952
M_m03041c	trichloroacetate	2.88242646544288	0.00197312616239339	14	1.53952740190566	1.30712927706414
M_m02554r	NADP+	2.87474933624144	0.00202174184484039	94	0.938689340890036	1.24703789497407
